TweetDate,TweetText,TweetAuthor,TweetLocation,AllHashtags
2021-03-25 23:59:57,"Stay away from the Sinovac vaccine. It is unsafe, there is no data from clinical trials and people have died. #Sinovac #ChinaLies #CovidVaccine #SinovacUnsafe #CCPIsNotTransparent @PDChina @globaltimesnews  https://t.co/UOFolb5Cep",trekker_william,Southwest,"['Sinovac', 'ChinaLies', 'CovidVaccine', 'SinovacUnsafe', 'CCPIsNotTransparent']"
2021-03-25 23:59:53,V-A-C-C-I-N-A-T-E-D!!! 💁🏽‍♀️💉❤️😷 #COVID #coronavirus #CoronaVaccine #JohnsonAndJohnsonVaccine #vaccinated #StayHome #StaySafe #WashYourHands #SocialDistance #GetVaccinated #latepost https://t.co/XKV0TE9Bpp,ashlydhorace,TX ✈️CA☀️,"['COVID', 'coronavirus', 'CoronaVaccine', 'JohnsonAndJohnsonVaccine', 'vaccinated', 'StayHome', 'StaySafe', 'WashYourHands', 'SocialDistance', 'GetVaccinated', 'latepost']"
2021-03-25 23:59:51,"RT @Cal_OES: 🚨ALERT!!🚨More Californians will soon be eligible to receive their #CovidVaccine! #VaccinesWork #VaccineEquity 
➡️Starting Apri…",SantaMonicaLibr,"Santa Monica, CA","['CovidVaccine', 'VaccinesWork', 'VaccineEquity']"
2021-03-25 23:59:48,"RT @THP_hospital: Pharmacy Technicians have been integral to #COVID19vaccine administration, preparing tens of thousands of doses that will…",PhmSonia,,['COVID19vaccine']
2021-03-25 23:59:32,"RT @MaryLTrump: It's been a long fucking year. Have a donut.

#KrispyKreme #vaccinated",102415A,,"['KrispyKreme', 'vaccinated']"
2021-03-25 23:59:29,"Do you still have questions about the #CovidVaccine, please listens to this episode of #PastorsPerspective with @BrianBrodersen and @LuWing16! Dr. Lu Wing is a biochemist who consulted on the vaccine! 

https://t.co/Xferza8p5K",KWVE,"Orange County, Ca","['CovidVaccine', 'PastorsPerspective']"
2021-03-25 23:59:28,"RT @THP_hospital: We are now inviting community members ages 𝟳𝟬+ to book #COVID19vaccine appointments in Peel Region. 

If you or someone y…",PhmSonia,,['COVID19vaccine']
2021-03-25 23:59:17,"RT @DHSCgovuk: The #CovidVaccine is free of charge on the NHS.

The NHS will never ask for:
❌ your bank account or card details
❌ your pin…",Cllrpaul,,['CovidVaccine']
2021-03-25 23:59:11,"RT @MaryLTrump: It's been a long fucking year. Have a donut.

#KrispyKreme #vaccinated",Skeeter_OBX,,"['KrispyKreme', 'vaccinated']"
2021-03-25 23:59:07,"A big thank you to @DollyParton today!  Got my first dose of the Moderna vaccine this morning! No chickens squats here!

#vaccinated https://t.co/yB6b5f1IHt",KateRackow,Chicago,['vaccinated']
2021-03-25 23:58:28,RT @AyeshaaSiddiqa: London’s oldest mosque “Fazal Mosque” becomes vaccination centre. It shows how much the whole of our community is suppo…,ahmadriaz994,"Kumasi, Ghana",[]
2021-03-25 23:58:27,#March25th @AndreaKPIX Andrea feel better soon. Great to 👂 #CovidVaccine 👍👊🙌 https://t.co/ILvWmIfS47,pkchin888,"New York, NY","['March25th', 'CovidVaccine']"
2021-03-25 23:57:46,"We’re out, at a place, doing things, near people. It’s weird. #vaccinated also this beer is good. - Drinking a Dead End by @piecechicago at @piecechicago  — https://t.co/da2bRr42dc",bward2912,"West Loop, Chicago",['vaccinated']
2021-03-25 23:57:06,"RT @sdgstoday: 💉Want to follow #COVID19Vaccine purchases across the globe with us?

Our dashboard ft. @DukeGhic data displays maps of purch…",Moonwynde,,['COVID19Vaccine']
2021-03-25 23:56:43,@VeroLinc it’s on!! #vaccinated https://t.co/8kneEVEEGf,marlid83,"Miami,FL",['vaccinated']
2021-03-25 23:56:11,"RT @qldhealthnews: #COVID19vaccine update 25 March 2021 

In the past 48 hours we launched 7 new vaccination locations in Queensland, bring…",ralphytown,Australia,['COVID19vaccine']
2021-03-25 23:56:09,RT @phinandme: My new job at a vaccination site has me so busy these days! Sending love ❤️ and good vibes 😎 to my Twitter family and friend…,WooleyHeidi,,[]
2021-03-25 23:56:06,SIDE EFFECTS: Some of the glands or lymph nodes in the armpit swell after receiving the #COVID19Vaccine and it could sometimes be mistaken as a sign of breast cancer. https://t.co/gWNEhXGQ6O,News12CT,"Norwalk, CT",['COVID19Vaccine']
2021-03-25 23:55:53,headache now and i feel drunk-tired #CovidVaccine,kiwanokoln,"Putnam County, NY",['CovidVaccine']
2021-03-25 23:55:51,RT @DrKhaldun: Such an emotional and exciting day! #CovidVaccine,yourmandaniel,Michigan,['CovidVaccine']
2021-03-25 23:55:39,RT @CaccioppoliMike: I wonder how many people are getting the #CovidVaccine simply out of political/peer pressure?,carolri76610518,West Virginia,['CovidVaccine']
2021-03-25 23:55:38,Starting at 5pm PST! Will discuss #COVIDVaccine important conversation for our #California community! #COVID19 @CalEndow #ucdavis https://t.co/otlri5FeyO,DavidCookeMD,Sacramento,"['COVIDVaccine', 'California', 'COVID19', 'ucdavis']"
2021-03-25 23:55:33,"Humored a little some are upset @NYGovCuomo pulled strings to get family members vaccinated. If you really looked closer, I believe there was a bunch of that going on from Governors to city managers. #COVID19Vaccine",tengkds,,['COVID19Vaccine']
2021-03-25 23:55:29,"While #India blocked all shipments of their #vaccines around the globe, #China brought 215,000 doses of #CovidVaccine #CoronaVac to #Ukraine. Ukraine desperately needs reliable vaccines as numbers of daily infection and deaths are growing.",besthealthyou,Planet Earth,"['India', 'vaccines', 'China', 'CovidVaccine', 'CoronaVac', 'Ukraine']"
2021-03-25 23:55:23,RT @nilikm: @mattgallowaycbc @IrfanDhalla Limiting activity to essentials would be a good start. Clearer messages (don’t open indoor dining…,SpaceCraftOrg,Toronto,[]
2021-03-25 23:55:18,vaccinated #VaccinesWork #vaccinated https://t.co/Nz6Xjvw3WW,Morgan_Ahumada_,,"['VaccinesWork', 'vaccinated']"
2021-03-25 23:55:16,"Moon Vaccine Disintegration! 🌙
#SailorMoonEternal #SailorMoon #CovidVaccine #anime https://t.co/1AR7XCI5ws https://t.co/yJ6REHlKgc",Sakura_Moon814,,"['SailorMoonEternal', 'SailorMoon', 'CovidVaccine', 'anime']"
2021-03-25 23:55:10,"If you're in #LakeTravis and need a #COVID19Vaccine , what are ya' doing on Saturday? #Lakeway #BeeCave #Spicewood @cityoflakeway @bswhealth https://t.co/ftq60MEStd",lbassman,"Austin, Texas","['LakeTravis', 'COVID19Vaccine', 'Lakeway', 'BeeCave', 'Spicewood']"
2021-03-25 23:55:07,"RT @parvinfarazmand: Sona Samsami: #Nowruz  means a new day, believed to hold freedom for Iranians in year 1400. Rouhani has failed the nat…",bz80qrlXkWpoBcT,,['Nowruz']
2021-03-25 23:55:02,"RT @camwolfe: I’m so proud of my “fellow Fellow”, ⁦@snaggie1⁩ , hubby ⁦@CharlesJGerardo⁩ and most importantly, their wonderful daughters!!…",ABXshroballa,"Raleigh, NC",[]
2021-03-25 23:54:13,I got my second dose of the Pfizer #covidvaccine today 💉 https://t.co/DtkILws52P,alana_zamora,"San Antonio, TX",['covidvaccine']
2021-03-25 23:54:09,"#CovidVaccine

Got my 1st Covid vaccine today 
Thank you to Sharp Healthcare 
Thank you to the staff &amp; volunteers

#ThankYouDemocrats
#ThankYouJoeBiden https://t.co/0Wp6CnBYOM",SusanDFinSD,"California, USA","['CovidVaccine', 'ThankYouDemocrats', 'ThankYouJoeBiden']"
2021-03-25 23:53:32,Best day Evah! (Mainers will get it!) After more than a year—— hugs with Dad! #vaccinated #hugs https://t.co/Kyh4ncdSag,ljmatt22,"Hampden, ME","['vaccinated', 'hugs']"
2021-03-25 23:53:31,"Double vaccinated. 
.
Who wanna make out?
—————————————
#nyc #covid19 #vaccine #vaccinated #igottheshotnyc #moderna #doublevaxxed @ Lower East Side https://t.co/ulrXuDbbtB",patrynize,"New York, NY","['nyc', 'covid19', 'vaccine', 'vaccinated', 'igottheshotnyc', 'moderna', 'doublevaxxed']"
2021-03-25 23:53:17,"RT @CV_UHB: It is important for everybody, including those who have received their #COVIDVaccine to continue to follow the government guide…",Huw_Cook,"Cardiff, Wales",['COVIDVaccine']
2021-03-25 23:53:09,RT @ncpr: If you aren't already eligible you might be able to get vaccinated. *If you live in St. Lawrence County.* #vaccine #CovidVaccine…,ShelbyConverse,"Buffalo, NY","['vaccine', 'CovidVaccine']"
2021-03-25 23:53:07,"Listen to his words knowing how deadly the #coronavirus was. Wow! ...
#COVID19 #CoronaVirusUpdates #COVID19Vaccine #CovidVaccine #Corona #coronamaatregelen #lautech #gntm #FilmOutbyBTS #alwx #dreamisoverparty #FilmOutbyBTS #Master #kenyavsegypt https://t.co/0SKWORyV5C https://t.co/D170CX4TnW",anyidea,"Los Angeles, CA","['coronavirus', 'COVID19', 'CoronaVirusUpdates', 'COVID19Vaccine', 'CovidVaccine', 'Corona', 'coronamaatregelen', 'lautech', 'gntm', 'FilmOutbyBTS', 'alwx', 'dreamisoverparty', 'FilmOutbyBTS', 'Master', 'kenyavsegypt']"
2021-03-25 23:52:49,Safe and effective. Get your #Covidvaccine https://t.co/56It0sHp7o,AricGiddensMD,"Memphis, TN",['Covidvaccine']
